opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-04-23T14:35:00.0000000+00:00,2025-04-23T14:40:00.0000000+00:00,QQQ_iex,Long,460.645,459.48,87,1,-101.355,0,-101.355,"Stop-loss hit"
2025-04-24T14:00:00.0000000+00:00,2025-04-24T14:40:00.0000000+00:00,QQQ_iex,Long,459.44875,460.244375,96,2,76.380000,0,76.380000,"Stop-loss hit"
2025-04-25T14:20:00.0000000+00:00,2025-04-25T14:30:00.0000000+00:00,QQQ_iex,Short,465.2381645569620253164556962,464.75753164556962025316455696,158,2,75.94000000000000000000000032,0,75.94000000000000000000000032,"Stop-loss hit"
2025-04-29T14:05:00.0000000+00:00,2025-04-29T19:40:00.0000000+00:00,QQQ_iex,Long,471.62146464646464646464646465,472.41209595959595959595959596,99,2,78.27250000000000000000000004,0,78.27250000000000000000000004,"Stop-loss hit"
2025-04-30T14:40:00.0000000+00:00,2025-04-30T14:45:00.0000000+00:00,QQQ_iex,Short,464.445,465.40,108,1,-103.140,0,-103.140,"Stop-loss hit"
2025-05-13T14:10:00.0000000+00:00,2025-05-19T13:30:00.0000000+00:00,QQQ_iex,Long,512.12954545454545454545454545,512.56568181818181818181818182,242,3,105.54500000000000000000000044,0,105.54500000000000000000000044,"Stop-loss hit"
2025-05-19T14:10:00.0000000+00:00,2025-05-19T14:25:00.0000000+00:00,QQQ_iex,Long,517.645,516.19,70,1,-101.850,0,-101.850,"Stop-loss hit"
2025-05-20T14:00:00.0000000+00:00,2025-05-20T14:20:00.0000000+00:00,QQQ_iex,Short,516.215,517.19,105,1,-102.375,0,-102.375,"Stop-loss hit"
2025-05-22T14:00:00.0000000+00:00,2025-05-22T14:20:00.0000000+00:00,QQQ_iex,Long,514.115,512.74,73,1,-100.375,0,-100.375,"Stop-loss hit"
2025-05-23T14:25:00.0000000+00:00,2025-05-23T14:55:00.0000000+00:00,QQQ_iex,Long,506.715,505.31,71,1,-99.755,0,-99.755,"Stop-loss hit"
2025-05-27T14:05:00.0000000+00:00,2025-05-27T15:35:00.0000000+00:00,QQQ_iex,Long,516.12269784172661870503597122,516.65832733812949640287769784,139,2,74.45249999999999999999999976,0,74.45249999999999999999999976,"Stop-loss hit"
2025-06-03T14:15:00.0000000+00:00,2025-06-03T18:00:00.0000000+00:00,QQQ_iex,Long,523.61701550387596899224806202,524.01315891472868217054263566,258,3,102.20500000000000000000000028,0,102.20500000000000000000000028,"Stop-loss hit"
2025-06-04T14:40:00.0000000+00:00,2025-06-04T14:55:00.0000000+00:00,QQQ_iex,Short,525.455,526.21,135,1,-101.925,0,-101.925,"Stop-loss hit"
2025-06-09T14:15:00.0000000+00:00,2025-06-09T15:20:00.0000000+00:00,QQQ_iex,Long,528.875,528.16,142,1,-101.530,0,-101.530,"Stop-loss hit"
