opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-04-24T14:45:00.0000000+00:00,2025-04-24T15:05:00.0000000+00:00,QQQ_iex,Short,459.905,461.13,83,1,-101.675,0,-101.675,"Stop-loss hit"
2025-04-25T14:10:00.0000000+00:00,2025-04-25T14:20:00.0000000+00:00,QQQ_iex,Long,466.725,464.75,50,1,-98.750,0,-98.750,"Stop-loss hit"
2025-04-29T14:20:00.0000000+00:00,2025-04-29T14:30:00.0000000+00:00,QQQ_iex,Short,470.18321229050279329608938547,469.76758379888268156424581006,179,2,74.39749999999999999999999926,0,74.39749999999999999999999926,"Stop-loss hit"
2025-04-30T14:05:00.0000000+00:00,2025-04-30T14:20:00.0000000+00:00,QQQ_iex,Long,462.9825,463.943125,80,2,76.850000,0,76.850000,"Stop-loss hit"
2025-05-05T14:25:00.0000000+00:00,2025-05-05T14:50:00.0000000+00:00,QQQ_iex,Short,483.315,484.28,105,1,-101.325,0,-101.325,"Stop-loss hit"
2025-05-15T14:00:00.0000000+00:00,2025-05-15T14:35:00.0000000+00:00,QQQ_iex,Long,514.245,512.99,80,1,-100.400,0,-100.400,"Stop-loss hit"
2025-05-22T14:15:00.0000000+00:00,2025-05-22T14:55:00.0000000+00:00,QQQ_iex,Short,512.83330508474576271186440678,512.19766949152542372881355932,118,2,75.00500000000000000000000024,0,75.00500000000000000000000024,"Stop-loss hit"
2025-05-23T14:20:00.0000000+00:00,2025-05-23T14:25:00.0000000+00:00,QQQ_iex,Short,505.795,506.92,89,1,-100.125,0,-100.125,"Stop-loss hit"
2025-06-04T14:15:00.0000000+00:00,2025-06-04T15:30:00.0000000+00:00,QQQ_iex,Long,525.74327751196172248803827751,526.09391148325358851674641148,209,2,73.28249999999999999999999932,0,73.28249999999999999999999932,"Stop-loss hit"
2025-06-05T14:20:00.0000000+00:00,2025-06-05T14:30:00.0000000+00:00,QQQ_iex,Long,526.39375,526.749375,208,2,73.970000,0,73.970000,"Stop-loss hit"
2025-06-06T14:30:00.0000000+00:00,2025-06-06T14:40:00.0000000+00:00,QQQ_iex,Short,526.795,528.29,67,1,-100.165,0,-100.165,"Stop-loss hit"
2025-06-11T14:00:00.0000000+00:00,2025-06-11T14:30:00.0000000+00:00,QQQ_iex,Long,532.98125,533.471875,152,2,74.575000,0,74.575000,"Stop-loss hit"
2025-07-01T14:25:00.0000000+00:00,2025-07-01T16:10:00.0000000+00:00,QQQ_iex,Short,545.80590909090909090909090909,545.27977272727272727272727273,198,3,104.17499999999999999999999946,0,104.17499999999999999999999946,"Stop-loss hit"
2025-07-16T14:20:00.0000000+00:00,2025-07-16T14:55:00.0000000+00:00,QQQ_iex,Long,553.335,552.64,148,1,-102.860,0,-102.860,"Stop-loss hit"
2025-07-24T14:20:00.0000000+00:00,2025-07-24T16:05:00.0000000+00:00,QQQ_iex,Long,562.38546218487394957983193277,562.69609243697478991596638655,238,2,73.92999999999999999999999890,0,73.92999999999999999999999890,"Stop-loss hit"
2025-07-25T14:55:00.0000000+00:00,2025-07-25T15:15:00.0000000+00:00,QQQ_iex,Short,563.845,564.18,320,1,-107.200,0,-107.200,"Stop-loss hit"
2025-08-05T14:05:00.0000000+00:00,2025-08-06T14:05:00.0000000+00:00,QQQ_iex,Short,562.01301324503311258278145695,561.6768708609271523178807947,302,3,101.5150000000000000000000006,0,101.5150000000000000000000006,"Stop-loss hit"
2025-08-07T14:10:00.0000000+00:00,2025-08-07T14:25:00.0000000+00:00,QQQ_iex,Short,569.30927586206896551724137931,568.78863793103448275862068966,145,2,75.49249999999999999999999930,0,75.49249999999999999999999930,"Stop-loss hit"
2025-08-08T14:15:00.0000000+00:00,2025-08-08T14:25:00.0000000+00:00,QQQ_iex,Short,570.555,571.56,101,1,-101.505,0,-101.505,"Stop-loss hit"
2025-08-12T14:10:00.0000000+00:00,2025-08-15T13:45:00.0000000+00:00,QQQ_iex,Long,573.97302469135802469135802469,574.61916666666666666666666667,162,3,104.67500000000000000000000054,0,104.67500000000000000000000054,"Stop-loss hit"
2025-08-21T14:05:00.0000000+00:00,2025-08-21T16:55:00.0000000+00:00,QQQ_iex,Long,562.455,559.96,40,1,-99.800,0,-99.800,"Stop-loss hit"
2025-08-26T13:55:00.0000000+00:00,2025-08-26T19:35:00.0000000+00:00,QQQ_iex,Long,569.00082608695652173913043478,569.6614565217391304347826087,115,2,75.9725000000000000000000005,0,75.9725000000000000000000005,"Stop-loss hit"
