opened_at,closed_at,symbol,side,avg_entry,exit_price,quantity,tranches,gross_pnl,commission,net_pnl,exit_reason
2025-04-25T14:20:00.0000000+00:00,2025-04-25T14:35:00.0000000+00:00,SPY_iex,Short,539.7425,539.261875,160,2,76.900000,0,76.900000,"Stop-loss hit"
2025-05-02T14:45:00.0000000+00:00,2025-05-02T15:00:00.0000000+00:00,SPY_iex,Short,558.535,559.47,110,1,-102.850,0,-102.850,"Stop-loss hit"
2025-05-08T14:40:00.0000000+00:00,2025-05-08T15:20:00.0000000+00:00,SPY_iex,Short,557.285,558.46,86,1,-101.050,0,-101.050,"Stop-loss hit"
2025-05-13T14:00:00.0000000+00:00,2025-05-13T14:40:00.0000000+00:00,SPY_iex,Long,579.47696078431372549019607843,579.84259803921568627450980392,204,2,74.58999999999999999999999968,0,74.58999999999999999999999968,"Stop-loss hit"
2025-05-20T14:00:00.0000000+00:00,2025-05-20T14:05:00.0000000+00:00,SPY_iex,Short,585.895,586.61,144,1,-102.960,0,-102.960,"Stop-loss hit"
2025-05-22T14:00:00.0000000+00:00,2025-05-22T14:20:00.0000000+00:00,SPY_iex,Long,577.675,576.66,99,1,-100.485,0,-100.485,"Stop-loss hit"
2025-05-23T14:25:00.0000000+00:00,2025-05-23T15:05:00.0000000+00:00,SPY_iex,Long,571.675,570.38,76,1,-98.420,0,-98.420,"Stop-loss hit"
2025-05-27T14:20:00.0000000+00:00,2025-05-28T15:35:00.0000000+00:00,SPY_iex,Long,582.05863636363636363636363636,582.39477272727272727272727273,297,3,99.83250000000000000000000081,0,99.83250000000000000000000081,"Stop-loss hit"
2025-06-03T14:30:00.0000000+00:00,2025-06-03T18:00:00.0000000+00:00,SPY_iex,Long,588.06616838487972508591065292,588.41231099656357388316151203,291,3,100.72750000000000000000000073,0,100.72750000000000000000000073,"Stop-loss hit"
2025-06-05T13:55:00.0000000+00:00,2025-06-05T14:20:00.0000000+00:00,SPY_iex,Short,587.795,588.79,101,1,-100.495,0,-100.495,"Stop-loss hit"
2025-06-13T14:20:00.0000000+00:00,2025-06-13T14:40:00.0000000+00:00,SPY_iex,Short,590.765,591.72,104,1,-99.320,0,-99.320,"Stop-loss hit"
2025-06-16T13:55:00.0000000+00:00,2025-06-16T18:50:00.0000000+00:00,SPY_iex,Long,596.315,595.07,79,1,-98.355,0,-98.355,"Stop-loss hit"
2025-06-17T14:50:00.0000000+00:00,2025-06-17T14:55:00.0000000+00:00,SPY_iex,Long,594.235,593.78,222,1,-101.010,0,-101.010,"Stop-loss hit"
2025-06-23T14:05:00.0000000+00:00,2025-06-23T14:55:00.0000000+00:00,SPY_iex,Long,592.355,591.74,160,1,-98.400,0,-98.400,"Stop-loss hit"
2025-07-01T14:15:00.0000000+00:00,2025-07-01T14:25:00.0000000+00:00,SPY_iex,Long,612.565,611.66,106,1,-95.930,0,-95.930,"Stop-loss hit"
2025-07-02T14:05:00.0000000+00:00,2025-07-02T14:45:00.0000000+00:00,SPY_iex,Long,612.8425,613.038125,344,2,67.295000,0,67.295000,"Stop-loss hit"
2025-07-07T14:35:00.0000000+00:00,2025-07-07T15:30:00.0000000+00:00,SPY_iex,Short,617.13854430379746835443037975,616.92291139240506329113924051,316,2,68.13999999999999999999999884,0,68.13999999999999999999999884,"Stop-loss hit"
2025-07-10T14:25:00.0000000+00:00,2025-07-10T14:35:00.0000000+00:00,SPY_iex,Short,618.485,618.95,213,1,-99.045,0,-99.045,"Stop-loss hit"
2025-07-15T14:25:00.0000000+00:00,2025-07-15T14:45:00.0000000+00:00,SPY_iex,Short,620.15048936170212765957446809,619.85486170212765957446808511,235,2,69.47249999999999999999999915,0,69.47249999999999999999999915,"Stop-loss hit"
2025-07-16T14:55:00.0000000+00:00,2025-07-16T15:25:00.0000000+00:00,SPY_iex,Short,615.78126373626373626373626374,614.98063186813186813186813187,91,2,72.85749999999999999999999983,0,72.85749999999999999999999983,"Stop-loss hit"
2025-07-24T14:00:00.0000000+00:00,2025-07-24T14:10:00.0000000+00:00,SPY_iex,Long,629.775,629.27,196,1,-98.980,0,-98.980,"Stop-loss hit"
2025-07-28T14:30:00.0000000+00:00,2025-07-28T14:35:00.0000000+00:00,SPY_iex,Long,632.455,632.06,252,1,-99.540,0,-99.540,"Stop-loss hit"
2025-07-29T14:05:00.0000000+00:00,2025-07-29T14:45:00.0000000+00:00,SPY_iex,Short,632.1075,631.921875,360,2,66.825000,0,66.825000,"Stop-loss hit"
2025-08-05T15:00:00.0000000+00:00,2025-08-05T15:35:00.0000000+00:00,SPY_iex,Long,622.735,622.00,130,1,-95.550,0,-95.550,"Stop-loss hit"
2025-08-06T14:05:00.0000000+00:00,2025-08-06T14:20:00.0000000+00:00,SPY_iex,Long,624.925,623.69,76,1,-93.860,0,-93.860,"Stop-loss hit"
2025-08-07T14:05:00.0000000+00:00,2025-08-08T13:30:00.0000000+00:00,SPY_iex,Short,629.52871428571428571428571429,629.07757142857142857142857143,210,3,94.73999999999999999999999970,0,94.73999999999999999999999970,"Stop-loss hit"
2025-08-12T14:00:00.0000000+00:00,2025-08-12T14:05:00.0000000+00:00,SPY_iex,Short,631.905,633.09,79,1,-93.615,0,-93.615,"Stop-loss hit"
2025-08-14T14:00:00.0000000+00:00,2025-08-14T14:55:00.0000000+00:00,SPY_iex,Long,639.19283132530120481927710843,639.60846385542168674698795181,166,2,68.99500000000000000000000046,0,68.99500000000000000000000046,"Stop-loss hit"
2025-08-21T14:35:00.0000000+00:00,2025-08-21T15:15:00.0000000+00:00,SPY_iex,Short,631.11686440677966101694915254,630.72622881355932203389830508,177,2,69.14250000000000000000000084,0,69.14250000000000000000000084,"Stop-loss hit"
2025-08-25T14:50:00.0000000+00:00,2025-08-25T16:50:00.0000000+00:00,SPY_iex,Long,639.28413043478260869565217391,639.58476086956521739130434783,230,2,69.14500000000000000000000090,0,69.14500000000000000000000090,"Stop-loss hit"
2025-08-27T14:20:00.0000000+00:00,2025-08-27T14:45:00.0000000+00:00,SPY_iex,Long,640.815,640.39,232,1,-98.600,0,-98.600,"Stop-loss hit"
2025-08-28T13:55:00.0000000+00:00,2025-08-28T14:05:00.0000000+00:00,SPY_iex,Short,640.285,641.19,104,1,-94.120,0,-94.120,"Stop-loss hit"
2025-08-29T14:00:00.0000000+00:00,2025-08-29T14:20:00.0000000+00:00,SPY_iex,Short,639.45708556149732620320855615,639.08645721925133689839572193,187,2,69.30749999999999999999999909,0,69.30749999999999999999999909,"Stop-loss hit"
2025-09-03T14:00:00.0000000+00:00,2025-09-03T14:05:00.0000000+00:00,SPY_iex,Short,636.495,637.08,164,1,-95.940,0,-95.940,"Stop-loss hit"
2025-09-05T14:10:00.0000000+00:00,2025-09-08T13:30:00.0000000+00:00,SPY_iex,Short,642.80045454545454545454545455,642.40931818181818181818181818,242,3,94.65500000000000000000000044,0,94.65500000000000000000000044,"Stop-loss hit"
2025-09-09T14:25:00.0000000+00:00,2025-09-09T14:45:00.0000000+00:00,SPY_iex,Short,642.90617117117117117117117117,642.59554054054054054054054054,222,2,68.96000000000000000000000012,0,68.96000000000000000000000012,"Stop-loss hit"
2025-09-10T14:00:00.0000000+00:00,2025-09-10T14:15:00.0000000+00:00,SPY_iex,Long,648.31401098901098901098901099,648.56464285714285714285714286,273,2,68.42250000000000000000000078,0,68.42250000000000000000000078,"Stop-loss hit"
